tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
213,50:58.7,54:32.4,3275,Columbus Drive,40.7183552,-74.03891444,3184,Paulus Hook,40.7141454,-74.0335519,42526,Subscriber,1987,1
733,53:20.1,05:33.6,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3273,Manila & 1st,40.72165072,-74.04288411,26545,Subscriber,1986,1
173,55:35.5,58:29.5,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,46929,Subscriber,1965,1
10078,56:18.6,44:17.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3199,Newport Pkwy,40.7287448,-74.0321082,33084,Subscriber,1985,2
572,00:31.9,10:04.6,3639,Harborside,40.7192517,-74.034234,3213,Van Vorst Park,40.71848892,-74.04772663,42307,Subscriber,1973,2
550,01:20.3,10:31.0,3206,Hilltop,40.7311689,-74.0575736,3275,Columbus Drive,40.7183552,-74.03891444,42277,Subscriber,1987,1
541,01:54.2,10:55.7,3639,Harborside,40.7192517,-74.034234,3214,Essex Light Rail,40.7127742,-74.0364857,41076,Subscriber,1991,2
974,02:42.6,18:57.4,3199,Newport Pkwy,40.7287448,-74.0321082,3483,Montgomery St,40.71942,-74.05099,33911,Subscriber,1986,2
2348,04:22.6,43:31.2,3187,Warren St,40.7211236,-74.03805095,3192,Liberty Light Rail,40.7112423,-74.0557013,42810,Customer,1992,2
2294,05:31.4,43:45.9,3187,Warren St,40.7211236,-74.03805095,3192,Liberty Light Rail,40.7112423,-74.0557013,46527,Customer,1991,1
212,10:01.9,13:34.1,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42527,Customer,1991,1
336,11:10.5,16:47.1,3209,Brunswick St,40.7241765,-74.0506564,3273,Manila & 1st,40.72165072,-74.04288411,47188,Subscriber,1980,1
397,11:49.3,18:27.2,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,28579,Subscriber,1997,2
460,11:50.0,19:30.7,3483,Montgomery St,40.71942,-74.05099,3187,Warren St,40.7211236,-74.03805095,47225,Subscriber,1984,2
1076,13:34.1,31:30.8,3220,5 Corners Library,40.73496102,-74.05950308,3639,Harborside,40.7192517,-74.034234,44236,Subscriber,1984,2
253,13:48.3,18:02.3,3187,Warren St,40.7211236,-74.03805095,3638,Washington St,40.7242941,-74.0354826,38641,Subscriber,1994,2
457,15:37.4,23:15.3,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,44969,Subscriber,1984,2
410,16:11.8,23:02.1,3267,Morris Canal,40.71241882,-74.03852552,3213,Van Vorst Park,40.71848892,-74.04772663,45683,Subscriber,1984,2
689,16:34.4,28:04.0,3483,Montgomery St,40.71942,-74.05099,3638,Washington St,40.7242941,-74.0354826,47029,Subscriber,1992,1
204,20:58.9,24:23.7,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,44388,Subscriber,1965,1
1187,22:00.8,41:48.4,3276,Marin Light Rail,40.71458404,-74.04281706,3199,Newport Pkwy,40.7287448,-74.0321082,44774,Subscriber,1960,1
1824,23:04.8,53:29.4,3202,Newport PATH,40.7272235,-74.0337589,3679,Bergen Ave,40.72210379,-74.071455,42147,Customer,1996,2
311,23:39.6,28:51.4,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,42497,Subscriber,1985,1
530,29:02.2,37:52.4,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,44937,Subscriber,1992,1
593,29:59.2,39:52.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,40464,Subscriber,1958,1
2138,32:52.6,08:30.8,3213,Van Vorst Park,40.71848892,-74.04772663,3205,JC Medical Center,40.71653978,-74.04963791,45683,Subscriber,1981,1
